"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 06- 07","28.018","27.910","28.085","27.595","63.09K","0.44%"
"2021- 06- 04","27.896","27.530","27.980","27.310","76.80K","1.52%"
"2021- 06- 03","27.477","28.295","28.370","27.090","106.48K","-2.58%"
"2021- 06- 02","28.204","27.995","28.320","27.765","53.89K","0.36%"
"2021- 05- 31","28.102","28.060","28.710","27.930","108.88K","0.31%"
"2021- 05- 28","28.014","27.980","28.095","27.480","66.46K","0.26%"
"2021- 05- 27","27.940","27.765","27.995","27.575","56.81K","0.23%"
"2021- 05- 26","27.877","28.105","28.340","27.685","65.97K","-0.64%"
"2021- 05- 25","28.056","27.880","28.160","27.545","69.31K","0.54%"
"2021- 05- 24","27.905","27.690","28.015","27.550","51.12K","1.52%"
"2021- 05- 21","27.486","27.870","28.195","27.265","78.64K","-2.07%"
"2021- 05- 20","28.067","27.840","28.125","27.490","55.96K","0.15%"
"2021- 05- 19","28.025","28.300","28.365","27.425","109.07K","-1.09%"
"2021- 05- 18","28.333","28.325","28.900","28.120","77.21K","0.21%"
"2021- 05- 17","28.274","27.515","28.435","27.440","86.80K","3.32%"
"2021- 05- 14","27.365","27.190","27.595","26.920","58.61K","1.13%"
"2021- 05- 13","27.059","27.095","27.330","26.780","63.63K","-0.68%"
"2021- 05- 12","27.244","27.760","27.830","27.030","77.86K","-1.53%"
"2021- 05- 11","27.667","27.400","27.780","27.180","62.13K","0.64%"
"2021- 05- 10","27.492","27.680","28.005","27.320","65.17K","0.05%"
"2021- 05- 07","27.477","27.450","27.800","27.230","80.78K","0.00%"
"2021- 05- 06","27.477","26.590","27.585","26.245","90.93K","3.60%"
"2021- 05- 05","26.522","26.595","26.710","26.165","40.71K","-0.14%"
"2021- 05- 04","26.558","27.015","27.240","26.160","76.95K","-1.49%"
"2021- 05- 03","26.960","25.990","27.115","25.850","77.32K","4.20%"
"2021- 04- 30","25.873","26.170","26.275","25.855","55.51K","-0.81%"
"2021- 04- 29","26.085","26.300","26.580","25.745","81.33K","0.00%"
"2021- 04- 28","26.085","26.325","26.345","25.840","62.06K","-1.23%"
"2021- 04- 27","26.410","26.275","26.515","26.100","65.27K","0.77%"
"2021- 04- 26","26.209","26.045","26.280","25.895","59.86K","0.51%"
"2021- 04- 23","26.075","26.195","26.470","25.890","63.84K","-0.40%"
"2021- 04- 22","26.180","26.650","26.670","26.025","84.13K","-1.47%"
"2021- 04- 21","26.570","25.880","26.730","25.795","94.21K","2.83%"
"2021- 04- 20","25.840","25.875","26.150","25.725","70.92K","0.01%"
"2021- 04- 19","25.837","26.055","26.280","25.670","68.09K","-1.03%"
"2021- 04- 16","26.105","25.940","26.380","25.795","58.50K","0.54%"
"2021- 04- 15","25.964","25.480","26.070","25.380","72.56K","1.72%"
"2021- 04- 14","25.524","25.405","25.590","25.235","56.47K","0.39%"
"2021- 04- 13","25.426","24.830","25.540","24.680","77.44K","2.25%"
"2021- 04- 12","24.867","25.300","25.330","24.725","65.06K","-1.81%"
"2021- 04- 09","25.325","25.530","25.555","25.010","60.53K","-1.02%"
"2021- 04- 08","25.585","25.210","25.675","25.020","65.65K","1.34%"
"2021- 04- 07","25.247","25.210","25.330","24.895","44.35K","0.08%"
"2021- 04- 06","25.227","24.905","25.355","24.795","53.64K","1.80%"
"2021- 04- 05","24.780","25.050","25.140","24.660","39.25K","-0.67%"
"2021- 04- 01","24.948","24.460","25.045","24.270","63.17K","1.70%"
