"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 04- 25","1,675.25","1,687.00","1,695.50","1,656.50","","-2.37%"
"2022- 04- 22","1,716.00","1,747.50","1,757.50","1,704.25","","-1.84%"
"2022- 04- 21","1,748.25","1,747.50","1,752.75","1,728.25","","0.09%"
"2022- 04- 20","1,746.75","1,718.00","1,750.00","1,714.50","","1.76%"
"2022- 04- 19","1,716.50","1,712.00","1,730.00","1,705.25","","0.10%"
"2022- 04- 18","1,714.75","1,688.75","1,720.50","1,688.50","","2.01%"
"2022- 04- 15","1,681.00","1,681.00","1,681.00","1,681.00","","-0.07%"
"2022- 04- 14","1,682.25","1,678.50","1,692.50","1,670.00","78.74K","0.37%"
"2022- 04- 13","1,676.00","1,672.25","1,681.25","1,652.00","","0.34%"
"2022- 04- 12","1,670.25","1,658.75","1,682.75","1,657.00","","0.91%"
"2022- 04- 11","1,655.25","1,691.00","1,697.50","1,651.50","","-2.00%"
"2022- 04- 08","1,689.00","1,647.75","1,689.75","1,645.50","","2.64%"
"2022- 04- 07","1,645.50","1,620.00","1,652.75","1,614.75","","1.65%"
"2022- 04- 06","1,618.75","1,622.50","1,642.88","1,615.00","","-0.75%"
"2022- 04- 05","1,631.00","1,605.00","1,635.25","1,604.25","","1.79%"
"2022- 04- 04","1,602.25","1,584.00","1,606.00","1,576.75","","1.23%"
"2022- 04- 01","1,582.75","1,620.75","1,628.50","1,580.75","","-2.19%"
"2022- 03- 31","1,618.25","1,666.75","1,680.00","1,613.50","","-2.75%"
"2022- 03- 30","1,664.00","1,644.00","1,683.75","1,638.75","","1.28%"
"2022- 03- 29","1,643.00","1,662.50","1,673.00","1,622.00","","-1.28%"
"2022- 03- 28","1,664.25","1,703.00","1,710.00","1,661.00","","-2.69%"
"2022- 03- 25","1,710.25","1,702.00","1,714.25","1,684.75","","0.56%"
"2022- 03- 24","1,700.75","1,722.25","1,730.00","1,697.50","","-1.05%"
"2022- 03- 23","1,718.75","1,695.50","1,736.50","1,691.00","","1.31%"
"2022- 03- 22","1,696.50","1,692.75","1,720.75","1,686.00","","0.33%"
"2022- 03- 21","1,691.00","1,673.00","1,710.00","1,666.75","","1.38%"
"2022- 03- 18","1,668.00","1,669.75","1,689.00","1,651.50","","-0.03%"
"2022- 03- 17","1,668.50","1,649.25","1,677.50","1,647.25","","1.17%"
"2022- 03- 16","1,649.25","1,661.00","1,681.25","1,645.25","","-0.57%"
"2022- 03- 15","1,658.75","1,674.00","1,674.00","1,638.00","","-1.69%"
"2022- 03- 14","1,687.25","1,708.00","1,710.00","1,705.00","","-0.21%"
"2022- 03- 11","1,690.75","1,706.50","1,707.25","1,680.75","","-0.54%"
"2022- 03- 10","1,700.00","1,687.75","1,716.25","1,681.25","","0.80%"
"2022- 03- 09","1,686.50","1,727.75","1,745.25","1,684.50","","-1.06%"
"2022- 03- 08","1,704.50","1,674.50","1,708.00","1,674.25","","1.81%"
"2022- 03- 07","1,674.25","1,696.50","1,706.25","1,675.00","","-0.12%"
"2022- 03- 04","1,676.25","1,684.00","1,700.25","1,659.25","","-0.24%"
"2022- 03- 03","1,680.25","1,690.25","1,707.50","1,683.50","","0.16%"
"2022- 03- 02","1,677.50","1,708.00","1,708.00","1,668.00","","-1.64%"
"2022- 03- 01","1,705.50","1,648.25","1,709.00","1,648.25","","3.73%"
"2022- 02- 28","1,644.25","1,642.50","1,660.75","1,621.00","","3.40%"
"2022- 02- 25","1,590.25","1,661.50","1,678.50","1,585.50","","-4.29%"
"2022- 02- 24","1,661.50","1,676.25","1,765.00","1,656.00","","-0.81%"
"2022- 02- 23","1,675.00","1,637.50","1,679.50","1,636.50","","2.45%"
"2022- 02- 22","1,635.00","1,609.00","1,641.25","1,602.25","","2.35%"
"2022- 02- 21","1,597.50","1,596.50","1,598.00","1,596.50","","-0.03%"
"2022- 02- 20","1,598.00","1,599.25","1,599.25","1,598.00","","-0.22%"
"2022- 02- 18","1,601.50","1,590.50","1,608.50","1,587.50","107.15K","0.60%"
"2022- 02- 17","1,592.00","1,585.25","1,606.00","1,576.50","","0.28%"
"2022- 02- 16","1,587.50","1,552.25","1,589.75","1,547.00","","2.34%"
"2022- 02- 15","1,551.25","1,569.25","1,577.00","1,542.25","","-1.19%"
"2022- 02- 14","1,570.00","1,587.00","1,599.50","1,551.50","","-0.82%"
"2022- 02- 11","1,583.00","1,573.00","1,594.75","1,563.50","","0.56%"
"2022- 02- 10","1,574.25","1,594.75","1,633.00","1,565.50","","-1.29%"
"2022- 02- 09","1,594.75","1,570.50","1,599.50","1,566.50","","1.64%"
"2022- 02- 08","1,569.00","1,585.00","1,586.50","1,559.00","176.07K","-0.81%"
"2022- 02- 07","1,581.75","1,571.00","1,589.50","1,565.25","","1.82%"
"2022- 02- 04","1,553.50","1,544.50","1,560.25","1,532.00","","0.60%"
"2022- 02- 03","1,544.25","1,544.00","1,560.00","1,529.00","","-0.06%"
"2022- 02- 02","1,545.25","1,528.00","1,564.00","1,526.00","","1.10%"
"2022- 02- 01","1,528.50","1,490.00","1,539.00","1,485.00","","2.55%"
"2022- 01- 31","1,490.50","1,474.00","1,496.75","1,473.50","","1.39%"
"2022- 01- 28","1,470.00","1,446.50","1,479.00","1,441.50","","1.50%"
"2022- 01- 27","1,448.25","1,436.00","1,456.50","1,428.50","","0.57%"
"2022- 01- 26","1,440.00","1,405.75","1,443.75","1,393.75","","2.33%"
"2022- 01- 25","1,407.25","1,405.00","1,413.75","1,393.25","","0.30%"
"2022- 01- 24","1,403.00","1,419.50","1,423.75","1,382.50","","-0.80%"
"2022- 01- 21","1,414.25","1,420.00","1,426.00","1,405.25","","-0.81%"
"2022- 01- 20","1,425.75","1,388.25","1,429.50","1,387.50","","2.48%"
"2022- 01- 19","1,391.25","1,363.50","1,392.50","1,363.50","","2.20%"
"2022- 01- 18","1,361.25","1,360.00","1,368.75","1,349.75","","0.33%"
"2022- 01- 14","1,356.75","1,376.50","1,379.88","1,363.75","0.04K","-0.62%"
"2022- 01- 13","1,365.25","1,368.00","1,370.00","1,359.25","0.42K","-1.87%"
"2022- 01- 12","1,391.25","1,373.50","1,391.75","1,370.00","0.29K","1.05%"
"2022- 01- 11","1,376.75","1,378.00","1,382.00","1,365.50","0.06K","0.15%"
"2022- 01- 10","1,374.75","1,394.00","1,396.00","1,374.75","","-1.91%"
"2022- 01- 07","1,401.50","1,373.50","1,405.50","1,368.00","","1.76%"
"2022- 01- 06","1,377.25","1,380.00","1,382.00","1,363.00","","-0.51%"
"2022- 01- 05","1,384.25","1,377.75","1,387.75","1,372.00","","0.40%"
"2022- 01- 04","1,378.75","1,346.00","1,380.50","1,346.00","","2.59%"
"2022- 01- 03","1,344.00","1,340.25","1,357.00","1,332.00","","1.15%"
